timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 05:25:02,RR,2,0.01,0.99,71.24,2025.12,0.96,0.01,0.99,31.16,2881.03,0.05,PENDING
2026-04-01 05:25:04,RR,4,0.01,0.99,71.24,2148.01,0.95,0.01,0.99,35.65,2782.03,0.05,PENDING
2026-04-01 05:25:05,RR,5,0.01,0.99,71.24,2137.99,0.96,0.01,0.99,35.67,2782.03,0.05,PENDING
2026-04-01 05:25:07,RR,7,0.01,0.99,71.24,2236.93,0.96,0.01,0.99,31.32,2782.03,0.05,PENDING
2026-04-01 05:25:09,RR,9,0.01,0.99,70.75,2025.89,0.96,0.01,0.99,40.89,2762.19,0.03,PENDING
2026-04-01 05:25:10,RR,10,0.01,0.99,70.75,2270.77,0.96,0.01,0.99,48.65,2762.19,0.03,PENDING
2026-04-01 05:25:12,RR,12,0.01,0.99,70.75,2431.73,0.97,0.01,0.99,44.61,2762.19,0.03,PENDING
2026-04-01 05:25:13,RR,13,0.01,0.99,70.75,2169.64,0.97,0.01,0.99,37.54,2762.19,0.03,PENDING
2026-04-01 05:25:15,RR,15,0.01,0.99,70.75,2102.98,0.97,0.01,0.99,38.42,2762.19,0.03,PENDING
2026-04-01 05:25:16,RR,16,0.01,0.99,70.75,2374.29,0.97,0.01,0.99,48.1,2762.19,0.03,PENDING
2026-04-01 05:25:18,RR,18,0.01,0.99,70.53,2105.56,0.97,0.01,0.99,36.39,2740.19,0.03,PENDING
2026-04-01 05:25:19,RR,19,0.01,0.99,70.53,2328.19,0.97,0.01,0.99,42.47,2740.19,0.03,PENDING
2026-04-01 05:25:21,RR,21,0.01,0.99,70.53,2389.64,0.97,0.01,0.99,48.22,2740.19,0.03,PENDING
2026-04-01 05:25:22,RR,22,0.01,0.99,70.53,2364.34,0.97,0.01,0.99,45.85,2740.19,0.03,PENDING
2026-04-01 05:25:24,RR,24,0.01,0.99,70.53,2328.49,0.97,0.01,0.99,45.01,2740.19,0.03,PENDING
2026-04-01 05:25:25,RR,25,0.01,0.99,70.53,2261.46,0.97,0.01,0.99,45.04,2740.19,0.03,PENDING
2026-04-01 05:25:27,RR,27,0.01,0.99,70.53,2130.87,0.97,0.01,0.99,36.08,2740.19,0.03,PENDING
2026-04-01 05:25:29,RR,29,0.01,0.99,70.53,2128.7,0.97,0.01,0.99,43.23,2740.19,0.03,PENDING
2026-04-01 05:25:30,RR,30,0.01,0.99,70.53,2097.27,0.96,0.01,0.99,59.44,2740.19,0.04,PENDING
2026-04-01 05:25:32,RR,32,0.01,0.99,70.53,2133.5,0.95,0.01,0.99,60.99,2740.19,0.05,PENDING
2026-04-01 05:25:33,RR,33,0.01,0.99,70.53,2233.06,0.95,0.01,0.99,67.24,2740.19,0.06,PENDING
2026-04-01 05:25:35,RR,35,0.01,0.99,70.53,1816.13,0.95,0.01,0.99,36.8,2740.19,0.07,PENDING
2026-04-01 05:25:36,RR,36,0.01,0.99,70.53,2169.08,0.94,0.01,0.99,51.85,2740.19,0.07,PENDING
2026-04-01 05:25:38,RR,38,0.01,0.99,70.53,1767.95,0.91,0.01,0.99,27.33,2740.19,0.09,PENDING
2026-04-01 05:25:39,RR,39,0.01,0.99,70.53,1876.66,0.91,0.01,0.99,32.97,2740.19,0.1,PENDING
2026-04-01 05:25:41,RR,41,0.01,0.99,70.53,1706.69,0.9,0.01,0.99,30.24,2740.19,0.1,PENDING
2026-04-01 05:25:42,RR,42,0.01,0.99,70.53,1992.9,0.9,0.01,0.99,41.13,2740.19,0.07,PENDING
2026-04-01 05:25:44,RR,44,0.01,0.99,70.53,2143.44,0.93,0.01,0.99,45.0,2740.19,0.07,PENDING
2026-04-01 05:25:46,RR,46,0.01,0.99,70.53,2115.09,0.94,0.01,0.99,45.14,2740.19,0.08,PENDING
2026-04-01 05:25:47,RR,47,0.01,0.99,70.53,1984.03,0.92,0.01,0.99,33.9,2740.19,0.1,PENDING
2026-04-01 05:25:49,RR,49,0.01,0.99,70.53,2352.6,0.89,0.01,0.99,50.03,2740.19,0.1,PENDING
2026-04-01 05:25:50,RR,50,0.01,0.99,70.53,2165.98,0.86,0.01,0.99,44.68,2740.19,0.12,PENDING
2026-04-01 05:25:52,RR,52,0.01,0.99,70.53,2217.95,0.87,0.01,0.99,44.68,2740.19,0.12,PENDING
2026-04-01 05:25:53,RR,53,0.01,0.99,70.53,2198.75,0.87,0.01,0.99,43.98,2740.19,0.16,PENDING
2026-04-01 05:25:55,RR,55,0.01,0.99,70.53,2232.7,0.85,0.01,0.99,45.18,2740.19,0.16,PENDING
2026-04-01 05:25:56,RR,56,0.01,0.99,70.53,2127.9,0.89,0.01,0.99,44.93,2740.19,0.12,PENDING
2026-04-01 05:25:58,RR,58,0.01,0.99,70.53,2217.95,0.89,0.01,0.99,44.68,2745.14,0.13,PENDING
2026-04-01 05:26:00,RR,60,0.01,0.99,70.53,2213.2,0.88,0.01,0.99,44.43,2740.19,0.13,PENDING
2026-04-01 05:26:01,RR,61,0.01,0.99,70.53,2313.15,0.88,0.01,0.99,61.73,2740.19,0.08,PENDING
2026-04-01 05:26:03,RR,63,0.01,0.99,70.53,2272.98,0.92,0.01,0.99,47.7,2740.19,0.08,PENDING
2026-04-01 05:26:04,RR,64,0.01,0.99,70.53,2368.98,0.9,0.01,0.99,47.75,2740.19,0.08,PENDING
2026-04-01 05:26:06,RR,66,0.01,0.99,70.53,2419.05,0.89,0.01,0.99,53.58,2745.14,0.14,PENDING
2026-04-01 05:26:07,RR,67,0.01,0.99,70.53,2419.05,0.87,0.01,0.99,55.63,2740.19,0.14,PENDING
2026-04-01 05:26:09,RR,69,0.01,0.99,70.53,2479.53,0.87,0.01,0.99,54.13,2740.19,0.14,PENDING
2026-04-01 05:26:10,RR,70,0.01,0.99,70.53,2503.99,0.81,0.01,0.99,54.93,2740.19,0.17,PENDING
2026-04-01 05:26:12,RR,72,0.01,0.99,70.53,2498.84,0.82,0.01,0.99,54.13,2740.19,0.17,PENDING
2026-04-01 05:26:13,RR,73,0.01,0.99,70.53,2349.47,0.78,0.01,0.99,51.62,2740.19,0.23,PENDING
2026-04-01 05:26:15,RR,75,0.01,0.99,70.53,2319.77,0.81,0.01,0.99,52.87,2740.19,0.19,PENDING
2026-04-01 05:26:16,RR,76,0.01,0.99,70.53,2315.17,0.77,0.01,0.99,52.62,2740.19,0.22,PENDING
2026-04-01 05:26:18,RR,78,0.01,0.99,70.53,2315.37,0.73,0.01,0.99,52.27,2740.19,0.3,PENDING
2026-04-01 05:26:20,RR,80,0.01,0.99,70.53,2313.57,0.74,0.01,0.99,54.07,2740.19,0.27,PENDING
2026-04-01 05:26:21,RR,81,0.01,0.99,70.53,2323.77,0.77,0.01,0.99,53.87,2740.19,0.27,PENDING
2026-04-01 05:26:23,RR,83,0.01,0.99,70.53,2323.77,0.75,0.01,0.99,53.87,2745.14,0.27,PENDING
2026-04-01 05:26:24,RR,84,0.01,0.99,70.53,2323.77,0.75,0.01,0.99,53.87,2740.19,0.25,PENDING
2026-04-01 05:26:26,RR,86,0.01,0.99,70.53,2323.97,0.75,0.01,0.99,53.67,2740.19,0.25,PENDING
2026-04-01 05:26:27,RR,87,0.01,0.99,70.53,2314.37,0.76,0.01,0.99,53.27,2740.19,0.25,PENDING
2026-04-01 05:26:29,RR,89,0.01,0.99,70.53,2314.37,0.76,0.01,0.99,53.27,2740.19,0.23,PENDING
2026-04-01 05:26:30,RR,90,0.01,0.99,70.58,2314.37,0.77,0.01,0.99,53.27,2745.14,0.24,PENDING
2026-04-01 05:26:32,RR,92,0.01,0.99,70.53,2314.37,0.77,0.01,0.99,53.27,2740.19,0.24,PENDING
2026-04-01 05:26:33,RR,93,0.01,0.99,70.53,2314.17,0.77,0.01,0.99,53.47,2740.19,0.24,PENDING
2026-04-01 05:26:35,RR,95,0.01,0.99,70.53,2314.17,0.75,0.01,0.99,53.47,2740.19,0.24,PENDING
2026-04-01 05:26:36,RR,96,0.01,0.99,70.53,2314.17,0.75,0.01,0.99,53.47,2740.19,0.26,PENDING
2026-04-01 05:26:38,RR,98,0.01,0.99,70.53,2319.12,0.75,0.01,0.99,53.47,2740.19,0.27,PENDING
2026-04-01 05:26:40,RR,100,0.01,0.99,70.53,2313.57,0.83,0.01,0.99,54.07,2740.19,0.18,PENDING
2026-04-01 05:26:41,RR,101,0.01,0.99,70.53,2313.57,0.83,0.01,0.99,51.82,2740.19,0.18,PENDING
2026-04-01 05:26:43,RR,103,0.01,0.99,70.53,2309.82,0.84,0.01,0.99,52.02,2740.19,0.18,PENDING
2026-04-01 05:26:44,RR,104,0.01,0.99,70.53,2346.25,0.87,0.01,0.99,52.39,2740.19,0.18,PENDING
2026-04-01 05:26:46,RR,106,0.01,0.99,70.53,2541.24,0.88,0.01,0.99,58.4,2740.19,0.13,PENDING
2026-04-01 05:26:47,RR,107,0.01,0.99,70.53,2594.7,0.88,0.01,0.99,60.94,2740.19,0.13,PENDING
2026-04-01 05:26:49,RR,109,0.01,0.99,70.53,2590.15,0.9,0.01,0.99,60.49,2740.19,0.1,PENDING
2026-04-01 05:26:50,RR,110,0.01,0.99,70.53,2590.45,0.9,0.01,0.99,60.19,2740.19,0.1,PENDING
2026-04-01 05:26:52,RR,112,0.01,0.99,70.53,2591.45,0.9,0.01,0.99,59.19,2740.19,0.1,PENDING
2026-04-01 05:26:53,RR,113,0.01,0.99,70.53,2591.65,0.9,0.01,0.99,58.99,2740.19,0.1,PENDING
2026-04-01 05:26:55,RR,115,0.01,0.99,70.53,2496.65,0.9,0.01,0.99,53.99,2740.19,0.1,PENDING
2026-04-01 05:26:57,RR,117,0.01,0.99,70.53,2303.65,0.9,0.01,0.99,46.99,2740.19,0.1,PENDING
2026-04-01 05:26:58,RR,118,0.01,0.99,70.53,2275.85,0.9,0.01,0.99,44.79,2740.19,0.1,PENDING
2026-04-01 05:27:00,RR,120,0.01,0.99,70.53,2275.85,0.9,0.01,0.99,44.79,2740.19,0.1,PENDING
2026-04-01 05:27:01,RR,121,0.01,0.99,70.53,2282.7,0.92,0.01,0.99,44.94,2740.19,0.1,PENDING
2026-04-01 05:27:03,RR,123,0.01,0.99,70.53,2085.7,0.92,0.01,0.99,41.94,2740.19,0.1,PENDING
2026-04-01 05:27:04,RR,124,0.01,0.99,70.53,2059.94,0.92,0.01,0.99,51.7,2740.19,0.08,PENDING
2026-04-01 05:27:06,RR,126,0.01,0.99,70.53,2235.21,0.92,0.01,0.99,44.92,2740.19,0.08,PENDING
2026-04-01 05:27:07,RR,127,0.01,0.99,70.53,1797.85,0.95,0.01,0.99,51.64,2740.19,0.06,PENDING
2026-04-01 05:27:09,RR,129,0.01,0.99,70.53,2442.99,0.95,0.01,0.99,55.39,2740.19,0.05,PENDING
2026-04-01 05:27:10,RR,130,0.01,0.99,70.53,2341.95,0.95,0.01,0.99,54.5,2740.19,0.06,PENDING
2026-04-01 05:27:12,RR,132,0.01,0.99,70.53,2676.42,0.96,0.01,0.99,63.96,2740.19,0.06,PENDING
2026-04-01 05:27:14,RR,134,0.01,0.99,70.53,2647.15,0.96,0.01,0.99,62.6,2740.19,0.06,PENDING
2026-04-01 05:27:15,RR,135,0.01,0.99,70.53,2038.23,0.98,0.01,0.99,31.07,2740.19,0.06,PENDING
2026-04-01 05:27:17,RR,137,0.01,0.99,55.53,2438.34,0.98,0.01,0.99,38.33,2255.19,0.03,PENDING
2026-04-01 05:27:18,RR,138,0.01,0.99,55.53,2226.94,0.96,0.01,0.99,33.39,2255.19,0.03,PENDING
2026-04-01 05:27:20,RR,140,0.01,0.99,55.53,2040.0,0.97,0.01,0.99,31.33,2255.19,0.03,PENDING
2026-04-01 05:27:21,RR,141,0.01,0.99,55.53,2321.02,0.95,0.01,0.99,43.31,2255.19,0.03,PENDING
2026-04-01 05:27:23,RR,143,0.01,0.99,55.53,2537.03,0.95,0.01,0.99,47.3,2255.19,0.03,PENDING
2026-04-01 05:27:24,RR,144,0.01,0.99,55.53,2720.69,0.94,0.01,0.99,69.64,2255.19,0.03,PENDING
2026-04-01 05:27:26,RR,146,0.01,0.99,55.53,2582.02,0.95,0.01,0.99,31.3,2255.19,0.03,PENDING
2026-04-01 05:27:27,RR,147,0.01,0.99,55.53,2246.03,0.95,0.01,0.99,42.28,2255.19,0.04,PENDING
2026-04-01 05:27:29,RR,149,0.01,0.99,55.53,2259.4,0.95,0.01,0.99,36.46,2255.19,0.04,PENDING
2026-04-01 05:27:31,RR,151,0.01,0.99,54.78,2201.24,0.97,0.01,0.99,39.25,2230.94,0.04,PENDING
2026-04-01 05:27:32,RR,152,0.01,0.99,54.78,2201.24,0.97,0.01,0.99,39.25,2230.94,0.04,PENDING
2026-04-01 05:27:34,RR,154,0.01,0.99,54.78,2201.31,0.97,0.01,0.99,39.18,2230.94,0.04,PENDING
2026-04-01 05:27:35,RR,155,0.01,0.99,54.78,1958.73,0.97,0.01,0.99,23.45,2230.94,0.03,PENDING
2026-04-01 05:27:37,RR,157,0.01,0.99,54.78,1959.69,0.97,0.01,0.99,20.7,2230.94,0.03,PENDING
2026-04-01 05:27:38,RR,158,0.01,0.99,54.78,1800.78,0.98,0.01,0.99,19.62,2230.94,0.03,PENDING
2026-04-01 05:27:40,RR,160,0.01,0.99,54.78,2063.43,0.98,0.01,0.99,30.18,2230.94,0.03,PENDING
2026-04-01 05:27:41,RR,161,0.01,0.99,54.78,2024.3,0.98,0.01,0.99,28.68,2230.94,0.03,PENDING
2026-04-01 05:27:43,RR,163,0.01,0.99,54.78,1978.56,0.98,0.01,0.99,34.4,2230.94,0.03,PENDING
2026-04-01 05:27:44,RR,164,0.01,0.99,54.78,1971.77,0.98,0.01,0.99,33.84,2230.94,0.03,PENDING
2026-04-01 05:27:46,RR,166,0.01,0.99,54.78,1873.91,0.98,0.01,0.99,33.49,2230.94,0.03,PENDING
2026-04-01 05:27:48,RR,168,0.01,0.99,54.78,1873.91,0.98,0.01,0.99,33.49,2230.94,0.03,PENDING
2026-04-01 05:27:49,RR,169,0.01,0.99,54.78,2170.96,0.98,0.01,0.99,41.33,2230.94,0.05,PENDING
2026-04-01 05:27:51,RR,171,0.01,0.99,54.78,2659.26,0.94,0.01,0.99,49.03,2230.94,0.07,PENDING
2026-04-01 05:27:52,RR,172,0.01,0.99,54.78,2707.06,0.94,0.01,0.99,72.33,2230.94,0.07,PENDING
2026-04-01 05:27:54,RR,174,0.01,0.99,54.78,2573.68,0.94,0.01,0.99,69.62,2235.89,0.07,PENDING
2026-04-01 05:27:55,RR,175,0.01,0.99,54.78,2511.43,0.94,0.01,0.99,61.74,2230.94,0.08,PENDING
2026-04-01 05:27:57,RR,177,0.01,0.99,54.78,2442.71,0.94,0.01,0.99,67.61,2230.94,0.08,PENDING
2026-04-01 05:27:58,RR,178,0.01,0.99,54.78,2456.22,0.94,0.01,0.99,68.17,2230.94,0.08,PENDING
2026-04-01 05:28:00,RR,180,0.01,0.99,54.78,2369.67,0.94,0.01,0.99,65.22,2230.94,0.08,PENDING
2026-04-01 05:28:01,RR,181,0.01,0.99,54.78,2459.0,0.95,0.01,0.99,57.19,2230.94,0.08,PENDING
2026-04-01 05:28:03,RR,183,0.01,0.99,54.78,2337.56,0.95,0.01,0.99,54.83,2230.94,0.08,PENDING
2026-04-01 05:28:05,RR,185,0.01,0.99,54.78,2325.46,0.95,0.01,0.99,46.35,2230.94,0.09,PENDING
2026-04-01 05:28:06,RR,186,0.01,0.99,54.78,2465.31,0.9,0.01,0.99,54.48,2230.94,0.09,PENDING
2026-04-01 05:28:08,RR,188,0.01,0.99,54.78,2468.66,0.88,0.01,0.99,56.23,2230.94,0.12,PENDING
2026-04-01 05:28:09,RR,189,0.01,0.99,54.78,2480.67,0.91,0.01,0.99,41.12,2328.94,0.09,PENDING
2026-04-01 05:28:11,RR,191,0.01,0.99,69.78,2070.74,0.91,0.01,0.99,41.58,2715.94,0.1,PENDING
2026-04-01 05:28:12,RR,192,0.01,0.99,69.78,2195.26,0.9,0.01,0.99,59.59,2715.94,0.09,PENDING
2026-04-01 05:28:14,RR,194,0.01,0.99,69.83,2196.17,0.93,0.01,0.99,73.02,2715.94,0.09,PENDING
2026-04-01 05:28:15,RR,195,0.01,0.99,69.78,2676.29,0.93,0.01,0.99,63.72,2715.94,0.09,PENDING
2026-04-01 05:28:17,RR,197,0.01,0.99,69.78,2570.18,0.94,0.01,0.99,64.74,2715.94,0.09,PENDING
2026-04-01 05:28:18,RR,198,0.01,0.99,54.78,2570.63,0.88,0.01,0.99,56.16,2230.94,0.07,PENDING
2026-04-01 05:28:20,RR,200,0.01,0.99,55.78,2570.63,0.88,0.01,0.99,56.16,2329.94,0.12,PENDING
2026-04-01 05:28:21,RR,201,0.01,0.99,70.78,2033.86,0.88,0.01,0.99,36.66,2814.94,0.1,PENDING
2026-04-01 05:28:23,RR,203,0.01,0.99,70.78,2265.1,0.88,0.01,0.99,39.78,2814.94,0.09,PENDING
2026-04-01 05:28:25,RR,205,0.01,0.99,70.78,2137.95,0.94,0.01,0.99,35.44,2814.94,0.06,PENDING
2026-04-01 05:28:26,RR,206,0.01,0.99,70.78,2158.74,0.94,0.01,0.99,35.65,2814.94,0.06,PENDING
2026-04-01 05:28:28,RR,208,0.01,0.99,70.78,2255.57,0.95,0.01,0.99,55.99,2814.94,0.06,PENDING
2026-04-01 05:28:29,RR,209,0.01,0.99,70.78,2189.03,0.95,0.01,0.99,53.86,2805.14,0.06,PENDING
2026-04-01 05:28:31,RR,211,0.01,0.99,70.63,2152.34,0.95,0.01,0.99,38.3,2805.14,0.06,PENDING
2026-04-01 05:28:32,RR,212,0.01,0.99,70.58,2002.1,0.97,0.01,0.99,35.37,2805.14,0.06,PENDING
2026-04-01 05:28:34,RR,214,0.01,0.99,70.58,1974.88,0.97,0.01,0.99,36.89,2805.14,0.04,PENDING
2026-04-01 05:28:35,RR,215,0.01,0.99,55.58,2234.74,0.97,0.01,0.99,36.9,2320.14,0.04,PENDING
2026-04-01 05:28:37,RR,217,0.01,0.99,55.58,2411.35,0.96,0.01,0.99,32.38,2320.14,0.06,PENDING
2026-04-01 05:28:39,RR,219,0.01,0.99,55.58,2562.6,0.96,0.01,0.99,37.46,2320.14,0.06,PENDING
2026-04-01 05:28:40,RR,220,0.01,0.99,55.58,2562.84,0.96,0.01,0.99,63.05,2320.14,0.06,PENDING
2026-04-01 05:28:42,RR,222,0.01,0.99,55.58,2465.79,0.96,0.01,0.99,60.42,2320.14,0.07,PENDING
2026-04-01 05:28:43,RR,223,0.01,0.99,55.58,2467.53,0.94,0.01,0.99,40.56,2320.14,0.07,PENDING
2026-04-01 05:28:45,RR,225,0.01,0.99,56.53,2315.5,0.94,0.01,0.99,36.89,2338.11,0.07,PENDING
2026-04-01 05:28:46,RR,226,0.01,0.99,56.53,2309.56,0.94,0.01,0.99,36.83,2338.11,0.07,PENDING
2026-04-01 05:28:48,RR,228,0.01,0.99,56.53,2562.18,0.9,0.01,0.99,54.91,2338.11,0.1,PENDING
2026-04-01 05:28:49,RR,229,0.01,0.99,56.53,2556.54,0.91,0.01,0.99,49.85,2338.11,0.1,PENDING
2026-04-01 05:28:51,RR,231,0.01,0.99,56.53,2634.54,0.91,0.01,0.99,59.33,2338.11,0.11,PENDING
2026-04-01 05:28:52,RR,232,0.01,0.99,56.53,2747.24,0.9,0.01,0.99,60.35,2338.11,0.11,PENDING
2026-04-01 05:28:54,RR,234,0.01,0.99,56.42,2719.78,0.9,0.01,0.99,60.38,2327.72,0.18,PENDING
2026-04-01 05:28:55,RR,235,0.01,0.99,56.42,2810.61,0.83,0.01,0.99,62.36,2327.72,0.18,PENDING
2026-04-01 05:28:57,RR,237,0.01,0.99,56.42,2525.07,0.76,0.01,0.99,46.12,2717.72,0.15,PENDING
2026-04-01 05:28:58,RR,238,0.01,0.99,71.42,2562.43,0.94,0.01,0.99,56.92,2812.72,0.1,PENDING
2026-04-01 05:29:00,RR,240,0.01,0.99,41.42,2543.85,0.94,0.01,0.99,55.68,1842.72,0.1,PENDING
