timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 09:40:02,RR,2,0.01,0.99,64.85,2775.78,0.81,0.01,0.99,65.61,2594.07,0.28,DOWN
2026-04-01 09:40:04,RR,4,0.01,0.99,64.85,2780.38,0.83,0.01,0.99,66.01,2594.07,0.18,DOWN
2026-04-01 09:40:05,RR,5,0.01,0.99,64.85,2770.43,0.85,0.01,0.99,65.21,2594.07,0.16,DOWN
2026-04-01 09:40:07,RR,7,0.01,0.99,64.85,2934.84,0.85,0.01,0.99,78.6,2594.07,0.16,DOWN
2026-04-01 09:40:08,RR,8,0.01,0.99,64.85,2744.84,0.86,0.01,0.99,72.55,2594.07,0.15,DOWN
2026-04-01 09:40:10,RR,10,0.01,0.99,64.85,2712.03,0.86,0.01,0.99,47.97,2594.07,0.14,DOWN
2026-04-01 09:40:12,RR,12,0.01,0.99,64.85,2767.67,0.89,0.01,0.99,53.52,2594.07,0.14,DOWN
2026-04-01 09:40:13,RR,13,0.01,0.99,64.85,2468.32,0.9,0.01,0.99,52.07,2594.07,0.14,DOWN
2026-04-01 09:40:15,RR,15,0.01,0.99,64.85,2391.12,0.9,0.01,0.99,38.67,2594.07,0.09,DOWN
2026-04-01 09:40:16,RR,16,0.01,0.99,64.85,2038.37,0.94,0.01,0.99,36.73,2594.07,0.09,DOWN
2026-04-01 09:40:18,RR,18,0.01,0.99,64.85,2254.08,0.93,0.01,0.99,49.9,2594.07,0.08,DOWN
2026-04-01 09:40:19,RR,19,0.01,0.99,64.85,2634.7,0.92,0.01,0.99,54.58,2594.07,0.09,DOWN
2026-04-01 09:40:21,RR,21,0.01,0.99,64.85,2549.78,0.93,0.01,0.99,54.75,2594.07,0.09,DOWN
2026-04-01 09:40:22,RR,22,0.01,0.99,64.85,2615.32,0.93,0.01,0.99,52.75,2594.07,0.08,DOWN
