timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 11:10:02,2026-03-30 07:10:02,RR,2,0.01,0.99,0.98,72.79,7421.19,0.01,0.99,0.98,106.5,6086.9,0.83,BUY,DOWN
2026-03-30 11:10:04,2026-03-30 07:10:04,RR,4,0.01,0.99,0.98,72.79,7419.99,0.01,0.99,0.98,107.7,6086.9,0.83,BUY,DOWN
2026-03-30 11:10:06,2026-03-30 07:10:06,RR,6,0.01,0.99,0.98,72.79,7419.79,0.01,0.99,0.98,107.9,6086.9,0.81,BUY,DOWN
2026-03-30 11:10:07,2026-03-30 07:10:07,RR,7,0.01,0.99,0.98,72.79,7419.39,0.01,0.99,0.98,108.3,6086.9,0.8,BUY,DOWN
2026-03-30 11:10:09,2026-03-30 07:10:09,RR,9,0.01,0.99,0.98,72.79,7412.34,0.01,0.99,0.98,108.15,6086.9,0.8,BUY,DOWN
2026-03-30 11:10:10,2026-03-30 07:10:10,RR,10,0.01,0.99,0.98,72.79,7412.34,0.01,0.99,0.98,108.15,6086.9,0.79,BUY,DOWN
2026-03-30 11:10:12,2026-03-30 07:10:12,RR,12,0.01,0.99,0.98,72.79,7412.34,0.01,0.99,0.98,108.15,6086.9,0.79,BUY,DOWN
2026-03-30 11:10:14,2026-03-30 07:10:14,RR,14,0.01,0.99,0.98,72.79,7412.54,0.01,0.99,0.98,107.95,6086.9,0.79,BUY,DOWN
2026-03-30 11:10:15,2026-03-30 07:10:15,RR,15,0.01,0.99,0.98,72.79,7437.39,0.01,0.99,0.98,108.45,6086.9,0.88,BUY,DOWN
2026-03-30 11:10:17,2026-03-30 07:10:17,RR,17,0.01,0.99,0.98,72.79,7321.79,0.01,0.99,0.98,113.7,6086.9,0.85,SELL,DOWN
2026-03-30 11:10:18,2026-03-30 07:10:18,RR,18,0.01,0.99,0.98,72.79,7417.79,0.01,0.99,0.98,112.7,6086.9,0.84,BUY,DOWN
2026-03-30 11:10:20,2026-03-30 07:10:20,RR,20,0.01,0.99,0.98,87.79,6945.99,0.01,0.99,0.98,99.5,6571.9,0.85,BUY,DOWN
2026-03-30 11:10:22,2026-03-30 07:10:22,RR,22,0.01,0.99,0.98,87.79,6940.94,0.01,0.99,0.98,99.55,6571.9,0.86,BUY,DOWN
2026-03-30 11:10:23,2026-03-30 07:10:23,RR,23,0.01,0.99,0.98,87.79,6940.94,0.01,0.99,0.98,99.55,6571.9,0.85,SELL,DOWN
2026-03-30 11:10:25,2026-03-30 07:10:25,RR,25,0.01,0.99,0.98,87.79,6911.99,0.01,0.99,0.98,98.5,6571.9,0.84,BUY,DOWN
2026-03-30 11:10:26,2026-03-30 07:10:26,RR,26,0.01,0.99,0.98,87.79,6816.19,0.01,0.99,0.98,89.4,6571.9,0.85,BUY,DOWN
2026-03-30 11:10:28,2026-03-30 07:10:28,RR,28,0.01,0.99,0.98,87.79,6751.94,0.01,0.99,0.98,89.55,6571.9,0.85,BUY,DOWN
2026-03-30 11:10:30,2026-03-30 07:10:30,RR,30,0.01,0.99,0.98,87.79,7063.43,0.01,0.99,0.98,101.06,6571.9,0.87,BUY,DOWN
2026-03-30 11:10:31,2026-03-30 07:10:31,RR,31,0.01,0.99,0.98,87.79,7061.13,0.01,0.99,0.98,100.36,6571.9,0.88,BUY,DOWN
2026-03-30 11:10:33,2026-03-30 07:10:33,RR,33,0.01,0.99,0.98,87.79,7062.13,0.01,0.99,0.98,99.61,6571.9,0.88,BUY,DOWN
2026-03-30 11:10:35,2026-03-30 07:10:35,RR,35,0.01,0.99,0.98,87.79,7056.88,0.01,0.99,0.98,99.61,6571.9,0.87,BUY,DOWN
2026-03-30 11:10:36,2026-03-30 07:10:36,RR,36,0.01,0.99,0.98,87.79,7048.88,0.01,0.99,0.98,102.36,6571.9,0.84,SELL,DOWN
2026-03-30 11:10:38,2026-03-30 07:10:38,RR,38,0.01,0.99,0.98,87.79,6759.53,0.01,0.99,0.98,86.96,6571.9,0.82,BUY,DOWN
2026-03-30 11:10:39,2026-03-30 07:10:39,RR,39,0.01,0.99,0.98,87.79,6758.13,0.01,0.99,0.98,88.36,6571.9,0.81,BUY,DOWN
2026-03-30 11:10:41,2026-03-30 07:10:41,RR,41,0.01,0.99,0.98,87.79,6758.13,0.01,0.99,0.98,88.36,6571.9,0.81,BUY,DOWN
2026-03-30 11:10:43,2026-03-30 07:10:43,RR,43,0.01,0.99,0.98,87.79,6758.13,0.01,0.99,0.98,88.36,6571.9,0.81,BUY,DOWN
2026-03-30 11:10:44,2026-03-30 07:10:44,RR,44,0.01,0.99,0.98,87.79,6776.94,0.01,0.99,0.98,88.55,6571.9,0.82,BUY,DOWN
2026-03-30 11:10:46,2026-03-30 07:10:46,RR,46,0.01,0.99,0.98,87.84,6776.94,0.01,0.99,0.98,88.55,6571.9,0.82,BUY,DOWN
2026-03-30 11:10:47,2026-03-30 07:10:47,RR,47,0.01,0.99,0.98,87.79,6776.94,0.01,0.99,0.98,88.55,6571.9,0.8,BUY,DOWN
2026-03-30 11:10:49,2026-03-30 07:10:49,RR,49,0.01,0.99,0.98,87.79,6776.94,0.01,0.99,0.98,88.55,6571.9,0.8,BUY,DOWN
2026-03-30 11:10:51,2026-03-30 07:10:51,RR,51,0.01,0.99,0.98,87.79,6767.85,0.01,0.99,0.98,87.65,6571.9,0.83,BUY,DOWN
2026-03-30 11:10:52,2026-03-30 07:10:52,RR,52,0.01,0.99,0.98,87.79,6767.85,0.01,0.99,0.98,87.65,6571.9,0.83,BUY,DOWN
2026-03-30 11:10:54,2026-03-30 07:10:54,RR,54,0.01,0.99,0.98,87.79,6767.85,0.01,0.99,0.98,87.65,6571.9,0.83,BUY,DOWN
2026-03-30 11:10:55,2026-03-30 07:10:55,RR,55,0.01,0.99,0.98,87.79,6767.85,0.01,0.99,0.98,87.65,6571.9,0.83,BUY,DOWN
2026-03-30 11:10:57,2026-03-30 07:10:57,RR,57,0.01,0.99,0.98,87.79,6767.45,0.01,0.99,0.98,88.05,6571.9,0.81,BUY,DOWN
2026-03-30 11:10:59,2026-03-30 07:10:59,RR,59,0.01,0.99,0.98,87.79,6767.45,0.01,0.99,0.98,88.05,6571.9,0.81,BUY,DOWN
2026-03-30 11:11:00,2026-03-30 07:11:00,RR,60,0.01,0.99,0.98,87.79,7052.45,0.01,0.99,0.98,103.05,6571.9,0.86,BUY,DOWN
2026-03-30 11:11:02,2026-03-30 07:11:02,RR,62,0.01,0.99,0.98,87.79,7052.05,0.01,0.99,0.98,103.45,6571.9,0.86,BUY,DOWN
2026-03-30 11:11:03,2026-03-30 07:11:03,RR,63,0.01,0.99,0.98,87.79,7054.05,0.01,0.99,0.98,101.45,6571.9,0.86,BUY,DOWN
2026-03-30 11:11:05,2026-03-30 07:11:05,RR,65,0.01,0.99,0.98,87.79,7054.45,0.01,0.99,0.98,101.05,6571.9,0.86,BUY,DOWN
2026-03-30 11:11:07,2026-03-30 07:11:07,RR,67,0.01,0.99,0.98,87.79,7054.45,0.01,0.99,0.98,96.99,6571.9,0.87,BUY,DOWN
2026-03-30 11:11:08,2026-03-30 07:11:08,RR,68,0.01,0.99,0.98,87.79,6942.51,0.01,0.99,0.98,96.99,6571.9,0.87,BUY,DOWN
2026-03-30 11:11:10,2026-03-30 07:11:10,RR,70,0.01,0.99,0.98,87.79,6942.71,0.01,0.99,0.98,95.79,6571.9,0.87,BUY,DOWN
