timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 06:55:02,GG,2,0.999,4273.15,0.999,4334.5,PENDING
2026-03-31 06:55:03,GG,3,0.999,4273.15,0.999,4140.44,PENDING
2026-03-31 06:55:05,GG,5,0.999,4273.15,0.999,4188.95,PENDING
2026-03-31 06:55:06,GG,6,0.999,4273.15,0.999,4192.84,PENDING
2026-03-31 06:55:07,GG,7,0.999,4273.15,0.999,4358.1,PENDING
2026-03-31 06:55:09,GG,9,0.999,4273.15,0.999,4553.13,PENDING
2026-03-31 06:55:10,GG,10,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:12,GG,12,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:13,GG,13,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:14,GG,14,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:16,GG,16,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:17,GG,17,0.999,4273.15,0.999,4402.65,PENDING
2026-03-31 06:55:18,GG,18,0.999,4273.15,0.999,4107.63,PENDING
2026-03-31 06:55:20,GG,20,0.999,4273.15,0.999,4105.65,PENDING
2026-03-31 06:55:21,GG,21,0.999,4273.15,0.999,4303.65,PENDING
2026-03-31 06:55:22,GG,22,0.999,4273.15,0.999,4303.65,PENDING
2026-03-31 06:55:24,GG,24,0.999,4273.15,0.999,4204.65,PENDING
2026-03-31 06:55:25,GG,25,0.999,4273.15,0.999,4303.65,PENDING
2026-03-31 06:55:26,GG,26,0.999,4273.15,0.999,4105.65,PENDING
2026-03-31 06:55:28,GG,28,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:29,GG,29,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:30,GG,30,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:32,GG,32,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:33,GG,33,0.999,4273.15,0.999,4402.65,PENDING
2026-03-31 06:55:35,GG,35,0.999,4273.15,0.999,4343.25,PENDING
2026-03-31 06:55:36,GG,36,0.999,4273.15,0.999,4303.65,PENDING
2026-03-31 06:55:37,GG,37,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:39,GG,39,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:40,GG,40,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:41,GG,41,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:43,GG,43,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:44,GG,44,0.999,4273.15,0.999,4303.65,PENDING
2026-03-31 06:55:45,GG,45,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:47,GG,47,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:48,GG,48,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:49,GG,49,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:51,GG,51,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:52,GG,52,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:54,GG,54,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:55,GG,55,0.999,4273.15,0.999,4308.6,PENDING
2026-03-31 06:55:56,GG,56,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:58,GG,58,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:55:59,GG,59,0.999,4273.15,0.999,4501.65,PENDING
2026-03-31 06:56:00,GG,60,0.999,4273.15,0.999,4402.65,PENDING
2026-03-31 06:56:02,GG,62,0.999,4273.15,0.999,4204.65,PENDING
2026-03-31 06:56:03,GG,63,0.999,4273.15,0.999,4204.65,PENDING
2026-03-31 06:56:04,GG,64,0.999,4273.15,0.999,4402.65,PENDING
2026-03-31 06:56:06,GG,66,0.999,4273.15,0.999,4031.4,PENDING
2026-03-31 06:56:07,GG,67,0.999,4273.15,0.999,4135.35,PENDING
2026-03-31 06:56:08,GG,68,0.999,3283.15,0.999,2438.97,PENDING
2026-03-31 06:56:10,GG,70,0.999,3283.15,0.999,2438.97,PENDING
2026-03-31 06:56:11,GG,71,0.999,3283.15,0.999,2438.97,PENDING
2026-03-31 06:56:13,GG,73,0.999,3283.15,0.999,3784.12,PENDING
2026-03-31 06:56:14,GG,74,0.999,3283.15,0.999,2438.87,PENDING
2026-03-31 06:56:15,GG,75,0.999,3283.15,0.999,2438.87,PENDING
2026-03-31 06:56:17,GG,77,0.999,3283.15,0.999,3707.27,PENDING
2026-03-31 06:56:18,GG,78,0.999,3283.15,0.999,3707.27,PENDING
2026-03-31 06:56:19,GG,79,0.999,3283.15,0.999,3801.32,PENDING
2026-03-31 06:56:21,GG,81,0.999,3283.15,0.999,3573.62,PENDING
2026-03-31 06:56:22,GG,82,0.999,3283.15,0.999,3598.37,PENDING
