timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 10:10:02,RR,2,0.99,4143.97,0.99,3800.3,PENDING
2026-03-31 10:10:04,RR,4,0.99,4126.02,0.99,3800.3,PENDING
2026-03-31 10:10:05,RR,5,0.99,4320.82,0.99,3800.3,PENDING
2026-03-31 10:10:06,RR,6,0.99,4320.82,0.99,3800.3,PENDING
2026-03-31 10:10:08,RR,8,0.99,4115.47,0.99,3800.3,PENDING
2026-03-31 10:10:09,RR,9,0.99,4315.22,0.99,3800.3,PENDING
2026-03-31 10:10:10,RR,10,0.99,4364.22,0.99,3800.3,PENDING
2026-03-31 10:10:12,RR,12,0.99,4230.57,0.99,3800.3,PENDING
2026-03-31 10:10:13,RR,13,0.99,4138.97,0.99,3800.3,PENDING
2026-03-31 10:10:15,RR,15,0.99,4237.97,0.99,3800.3,PENDING
2026-03-31 10:10:16,RR,16,0.99,4257.97,0.99,3800.3,PENDING
2026-03-31 10:10:17,RR,17,0.99,4258.17,0.99,3800.3,PENDING
2026-03-31 10:10:19,RR,19,0.99,4257.57,0.99,3800.3,PENDING
2026-03-31 10:10:20,RR,20,0.99,4257.57,0.99,3800.3,PENDING
2026-03-31 10:10:21,RR,21,0.99,4258.37,0.99,3800.3,PENDING
2026-03-31 10:10:23,RR,23,0.99,4258.37,0.99,3800.3,PENDING
2026-03-31 10:10:24,RR,24,0.99,4257.57,0.99,3800.3,PENDING
2026-03-31 10:10:25,RR,25,0.99,4257.17,0.99,3805.25,PENDING
2026-03-31 10:10:27,RR,27,0.99,4257.97,0.99,3800.3,PENDING
2026-03-31 10:10:28,RR,28,0.99,4257.37,0.99,3800.3,PENDING
2026-03-31 10:10:30,RR,30,0.99,4257.37,0.99,3800.3,PENDING
2026-03-31 10:10:31,RR,31,0.99,4248.17,0.99,3790.5,PENDING
2026-03-31 10:10:32,RR,32,0.99,4248.17,0.99,3790.5,PENDING
2026-03-31 10:10:34,RR,34,0.99,4247.77,0.99,3790.5,PENDING
2026-03-31 10:10:35,RR,35,0.99,4247.97,0.99,3790.5,PENDING
2026-03-31 10:10:36,RR,36,0.99,4418.57,0.99,3790.5,PENDING
2026-03-31 10:10:38,RR,38,0.99,4418.17,0.99,3790.5,PENDING
2026-03-31 10:10:39,RR,39,0.99,4418.17,0.99,3790.5,PENDING
2026-03-31 10:10:40,RR,40,0.99,4418.37,0.99,3790.5,PENDING
