timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 11:40:02,GG,2,0.99,3791.86,0.99,3435.41,PENDING
2026-03-31 11:40:04,GG,4,0.99,3791.86,0.99,3435.41,PENDING
2026-03-31 11:40:05,GG,5,0.99,3791.86,0.99,3430.46,PENDING
2026-03-31 11:40:06,GG,6,0.99,3692.86,0.99,3430.46,PENDING
2026-03-31 11:40:08,GG,8,0.99,3692.86,0.99,3331.46,PENDING
2026-03-31 11:40:09,GG,9,0.99,3884.45,0.99,3326.51,PENDING
2026-03-31 11:40:10,GG,10,0.99,3884.45,0.99,3338.11,PENDING
2026-03-31 11:40:12,GG,12,0.99,3884.45,0.99,3338.11,PENDING
2026-03-31 11:40:13,GG,13,0.99,3884.45,0.99,3338.11,PENDING
2026-03-31 11:40:14,GG,14,0.99,3884.45,0.99,3338.11,PENDING
2026-03-31 11:40:16,GG,16,0.99,3884.45,0.99,3338.31,PENDING
2026-03-31 11:40:17,GG,17,0.99,3884.45,0.99,3338.31,PENDING
2026-03-31 11:40:18,GG,18,0.99,3884.45,0.99,3338.31,PENDING
2026-03-31 11:40:20,GG,20,0.99,3884.45,0.99,3336.31,PENDING
2026-03-31 11:40:21,GG,21,0.99,3884.45,0.99,3326.51,PENDING
2026-03-31 11:40:23,GG,23,0.99,3884.45,0.99,3326.51,PENDING
2026-03-31 11:40:24,GG,24,0.99,3692.86,0.99,3326.51,PENDING
2026-03-31 11:40:25,GG,25,0.99,3692.86,0.99,3326.51,PENDING
2026-03-31 11:40:27,GG,27,0.99,3692.86,0.99,3331.46,PENDING
2026-03-31 11:40:28,GG,28,0.99,3692.86,0.99,3331.46,PENDING
2026-03-31 11:40:29,GG,29,0.99,3692.86,0.99,3331.46,PENDING
2026-03-31 11:40:31,GG,31,0.99,3692.86,0.99,3336.41,PENDING
2026-03-31 11:40:32,GG,32,0.99,3683.06,0.99,3326.61,PENDING
2026-03-31 11:40:33,GG,33,0.99,3683.06,0.99,3326.61,PENDING
2026-03-31 11:40:35,GG,35,0.99,3683.06,0.99,3326.61,PENDING
2026-03-31 11:40:36,GG,36,0.99,3683.06,0.99,3326.61,PENDING
2026-03-31 11:40:38,GG,38,0.99,3683.06,0.99,3326.61,PENDING
2026-03-31 11:40:39,GG,39,0.99,3683.06,0.99,3326.61,PENDING
2026-03-31 11:40:40,GG,40,0.99,3874.65,0.99,3326.61,PENDING
2026-03-31 11:40:42,GG,42,0.99,3874.65,0.99,3326.61,PENDING
2026-03-31 11:40:43,GG,43,0.99,3874.65,0.99,3326.61,PENDING
2026-03-31 11:40:44,GG,44,0.99,3874.65,0.99,3326.61,PENDING
2026-03-31 11:40:46,GG,46,0.99,3874.65,0.99,3326.61,PENDING
2026-03-31 11:40:47,GG,47,0.99,3874.65,0.99,3326.61,PENDING
2026-03-31 11:40:48,GG,48,0.99,3969.65,0.99,3324.61,PENDING
2026-03-31 11:40:50,GG,50,0.99,3969.65,0.99,3324.61,PENDING
2026-03-31 11:40:51,GG,51,0.99,3969.65,0.99,3324.61,PENDING
2026-03-31 11:40:53,GG,53,0.99,3969.65,0.99,3322.61,PENDING
2026-03-31 11:40:54,GG,54,0.99,4064.65,0.99,3322.61,PENDING
2026-03-31 11:40:55,GG,55,0.99,3873.06,0.99,3327.51,PENDING
2026-03-31 11:40:57,GG,57,0.99,3875.06,0.99,3330.41,PENDING
2026-03-31 11:40:58,GG,58,0.99,3875.06,0.99,3330.41,PENDING
2026-03-31 11:40:59,GG,59,0.99,3875.06,0.99,3331.41,PENDING
2026-03-31 11:41:01,GG,61,0.99,3873.06,0.99,3332.41,PENDING
2026-03-31 11:41:02,GG,62,0.99,3873.06,0.99,3327.51,PENDING
