timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 10:40:02,RR,2,0.999,2211.27,0.999,2268.84,DOWN
2026-03-31 10:40:04,RR,4,0.999,2210.26,0.999,2268.84,DOWN
2026-03-31 10:40:05,RR,5,0.999,2210.26,0.999,2268.84,DOWN
2026-03-31 10:40:06,RR,6,0.999,2210.26,0.999,2268.84,DOWN
2026-03-31 10:40:08,RR,8,0.999,2210.26,0.999,2268.84,DOWN
2026-03-31 10:40:09,RR,9,0.999,2210.26,0.999,2268.84,DOWN
2026-03-31 10:40:10,RR,10,0.999,2168.69,0.999,2268.84,DOWN
2026-03-31 10:40:12,RR,12,0.999,2360.5,0.999,2268.84,DOWN
2026-03-31 10:40:13,RR,13,0.999,2360.5,0.999,2268.84,DOWN
2026-03-31 10:40:14,RR,14,0.999,2349.65,0.999,2268.84,DOWN
2026-03-31 10:40:16,RR,16,0.999,2157.84,0.999,2268.84,DOWN
2026-03-31 10:40:17,RR,17,0.999,2157.84,0.999,2268.84,DOWN
2026-03-31 10:40:19,RR,19,0.999,2157.84,0.999,2268.84,DOWN
2026-03-31 10:40:20,RR,20,0.999,2157.84,0.999,2268.84,DOWN
2026-03-31 10:40:21,RR,21,0.999,2157.84,0.999,2268.84,DOWN
2026-03-31 10:40:23,RR,23,0.999,2145.83,0.999,2268.84,DOWN
2026-03-31 10:40:24,RR,24,0.999,2145.83,0.999,2268.84,DOWN
2026-03-31 10:40:25,RR,25,0.999,2145.83,0.999,2268.84,DOWN
2026-03-31 10:40:27,RR,27,0.999,2145.83,0.999,2268.84,DOWN
2026-03-31 10:40:28,RR,28,0.999,2145.83,0.999,2268.84,DOWN
2026-03-31 10:40:30,RR,30,0.999,2145.83,0.999,2268.84,DOWN
2026-03-31 10:40:31,RR,31,0.999,2145.83,0.999,2268.84,DOWN
2026-03-31 10:40:32,RR,32,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:34,RR,34,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:35,RR,35,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:36,RR,36,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:38,RR,38,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:39,RR,39,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:41,RR,41,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:42,RR,42,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:43,RR,43,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:45,RR,45,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:46,RR,46,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:47,RR,47,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:49,RR,49,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:50,RR,50,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:51,RR,51,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:53,RR,53,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:54,RR,54,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:55,RR,55,0.999,2145.83,0.999,4356.76,DOWN
2026-03-31 10:40:57,RR,57,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:40:58,RR,58,0.999,2145.83,0.999,4351.81,DOWN
2026-03-31 10:41:00,RR,60,0.999,757.22,0.999,4351.81,DOWN
2026-03-31 10:41:01,RR,61,0.999,757.22,0.999,4351.81,DOWN
2026-03-31 10:41:02,RR,62,0.999,757.22,0.999,4351.81,DOWN
2026-03-31 10:41:04,RR,64,0.999,757.22,0.999,4351.81,DOWN
2026-03-31 10:41:05,RR,65,0.999,349.65,0.999,3352.81,DOWN
2026-03-31 10:41:06,RR,66,0.999,349.65,0.999,3352.81,DOWN
2026-03-31 10:41:08,RR,68,0.999,349.65,0.999,3352.81,DOWN
