timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 07:55:02,RR,2,0.99,3184.97,0.99,3272.39,DOWN
2026-03-31 07:55:04,RR,4,0.99,2986.12,0.99,3272.39,DOWN
2026-03-31 07:55:05,RR,5,0.99,2966.81,0.99,3272.39,DOWN
2026-03-31 07:55:06,RR,6,0.99,3180.07,0.99,3272.39,DOWN
2026-03-31 07:55:08,RR,8,0.99,3142.25,0.99,3272.39,DOWN
2026-03-31 07:55:09,RR,9,0.99,3155.74,0.99,3272.39,DOWN
2026-03-31 07:55:10,RR,10,0.99,2951.04,0.99,3272.39,DOWN
2026-03-31 07:55:12,RR,12,0.99,2871.54,0.99,3272.39,DOWN
2026-03-31 07:55:13,RR,13,0.99,2871.54,0.99,3272.39,DOWN
2026-03-31 07:55:14,RR,14,0.99,2876.39,0.99,3272.39,DOWN
2026-03-31 07:55:16,RR,16,0.99,2876.39,0.99,3272.39,DOWN
2026-03-31 07:55:17,RR,17,0.99,2834.68,0.99,3272.39,DOWN
2026-03-31 07:55:19,RR,19,0.99,2844.33,0.99,3272.39,DOWN
2026-03-31 07:55:20,RR,20,0.99,2745.33,0.99,3272.39,DOWN
2026-03-31 07:55:21,RR,21,0.99,2743.38,0.99,3272.39,DOWN
2026-03-31 07:55:23,RR,23,0.99,2737.22,0.99,3272.39,DOWN
2026-03-31 07:55:24,RR,24,0.99,2775.09,0.99,3272.39,DOWN
2026-03-31 07:55:25,RR,25,0.99,2746.82,0.99,3272.39,DOWN
2026-03-31 07:55:27,RR,27,0.99,2607.14,0.99,3272.39,DOWN
2026-03-31 07:55:28,RR,28,0.99,2607.19,0.99,3272.39,DOWN
2026-03-31 07:55:29,RR,29,0.99,2706.47,0.99,3272.39,DOWN
2026-03-31 07:55:31,RR,31,0.99,2698.75,0.99,3272.39,DOWN
2026-03-31 07:55:32,RR,32,0.99,2545.43,0.99,3272.39,DOWN
2026-03-31 07:55:34,RR,34,0.99,2511.13,0.99,3262.59,DOWN
2026-03-31 07:55:35,RR,35,0.99,2521.03,0.99,3262.59,DOWN
2026-03-31 07:55:36,RR,36,0.99,2540.63,0.99,3262.59,DOWN
2026-03-31 07:55:38,RR,38,0.99,2521.08,0.99,3262.59,DOWN
2026-03-31 07:55:39,RR,39,0.99,2718.67,0.99,3262.59,DOWN
2026-03-31 07:55:41,RR,41,0.99,2591.23,0.99,3262.59,DOWN
2026-03-31 07:55:42,RR,42,0.99,2567.43,0.99,3262.59,DOWN
2026-03-31 07:55:43,RR,43,0.99,2582.13,0.99,3262.59,DOWN
2026-03-31 07:55:45,RR,45,0.99,2726.61,0.99,3262.59,DOWN
2026-03-31 07:55:46,RR,46,0.99,2726.51,0.99,3262.59,DOWN
2026-03-31 07:55:47,RR,47,0.99,2758.19,0.99,3262.59,DOWN
2026-03-31 07:55:49,RR,49,0.99,2767.69,0.99,3262.59,DOWN
2026-03-31 07:55:50,RR,50,0.99,2601.23,0.99,3262.59,DOWN
2026-03-31 07:55:51,RR,51,0.99,2680.27,0.99,3262.59,DOWN
2026-03-31 07:55:53,RR,53,0.99,2680.12,0.99,3262.59,DOWN
2026-03-31 07:55:54,RR,54,0.99,2675.11,0.99,3262.59,DOWN
2026-03-31 07:55:55,RR,55,0.99,2545.23,0.99,3262.59,DOWN
2026-03-31 07:55:57,RR,57,0.99,2535.83,0.99,3262.59,DOWN
2026-03-31 07:55:58,RR,58,0.99,2545.13,0.99,3262.59,DOWN
2026-03-31 07:56:00,RR,60,0.99,2701.5,0.99,3262.59,DOWN
2026-03-31 07:56:01,RR,61,0.99,2434.87,0.99,3262.59,DOWN
2026-03-31 07:56:02,RR,62,0.99,2503.57,0.99,3262.59,DOWN
2026-03-31 07:56:04,RR,64,0.99,2793.77,0.99,3262.59,DOWN
2026-03-31 07:56:05,RR,65,0.99,2788.97,0.99,3262.59,DOWN
2026-03-31 07:56:06,RR,66,0.99,2771.76,0.99,3262.59,DOWN
2026-03-31 07:56:08,RR,68,0.99,2701.79,0.99,3262.59,DOWN
2026-03-31 07:56:09,RR,69,0.99,1721.39,0.99,2272.59,DOWN
2026-03-31 07:56:10,RR,70,0.99,1898.4,0.99,2272.59,DOWN
2026-03-31 07:56:12,RR,72,0.99,2192.91,0.99,2272.59,DOWN
2026-03-31 07:56:13,RR,73,0.99,2278.26,0.99,2272.59,DOWN
2026-03-31 07:56:14,RR,74,0.99,2067.92,0.99,2272.59,DOWN
2026-03-31 07:56:16,RR,76,0.99,2297.2,0.99,2272.59,DOWN
2026-03-31 07:56:17,RR,77,0.99,2207.5,0.99,2272.59,DOWN
2026-03-31 07:56:19,RR,79,0.99,2163.45,0.99,2272.59,DOWN
2026-03-31 07:56:20,RR,80,0.99,2387.79,0.99,2272.59,DOWN
2026-03-31 07:56:21,RR,81,0.99,2615.2,0.99,2272.59,DOWN
2026-03-31 07:56:23,RR,83,0.99,2555.01,0.99,2272.59,DOWN
2026-03-31 07:56:24,RR,84,0.99,2481.01,0.99,2272.59,DOWN
2026-03-31 07:56:25,RR,85,0.99,1974.29,0.99,2757.59,DOWN
2026-03-31 07:56:27,RR,87,0.99,1979.59,0.99,2757.59,DOWN
2026-03-31 07:56:28,RR,88,0.99,2026.11,0.99,2757.59,DOWN
2026-03-31 07:56:29,RR,89,0.99,1896.07,0.99,2757.59,DOWN
2026-03-31 07:56:31,RR,91,0.99,1782.43,0.99,2757.59,DOWN
2026-03-31 07:56:32,RR,92,0.99,1782.38,0.99,2757.59,DOWN
2026-03-31 07:56:34,RR,94,0.99,1836.18,0.99,2757.59,DOWN
2026-03-31 07:56:35,RR,95,0.99,1943.98,0.99,2658.59,DOWN
2026-03-31 07:56:36,RR,96,0.99,2348.24,0.99,2272.59,DOWN
2026-03-31 07:56:38,RR,98,0.99,2358.76,0.99,2272.59,DOWN
2026-03-31 07:56:39,RR,99,0.99,1957.68,0.99,2272.59,DOWN
2026-03-31 07:56:40,RR,100,0.99,2031.51,0.99,2272.59,DOWN
2026-03-31 07:56:42,RR,102,0.99,2044.31,0.99,2272.59,DOWN
2026-03-31 07:56:43,RR,103,0.99,1956.81,0.99,2272.59,DOWN
2026-03-31 07:56:44,RR,104,0.99,1899.18,0.99,2272.59,DOWN
2026-03-31 07:56:46,RR,106,0.99,1913.01,0.99,2272.59,DOWN
2026-03-31 07:56:47,RR,107,0.99,1917.61,0.99,2272.59,DOWN
2026-03-31 07:56:48,RR,108,0.99,2116.93,0.99,2272.59,DOWN
2026-03-31 07:56:50,RR,110,0.99,1947.92,0.99,2272.59,DOWN
2026-03-31 07:56:51,RR,111,0.99,2179.01,0.99,2272.59,DOWN
2026-03-31 07:56:53,RR,113,0.99,2053.62,0.99,2272.59,DOWN
2026-03-31 07:56:54,RR,114,0.99,2058.42,0.99,2272.59,DOWN
2026-03-31 07:56:55,RR,115,0.99,1961.67,0.99,2272.59,DOWN
2026-03-31 07:56:57,RR,117,0.99,1929.99,0.99,2272.59,DOWN
2026-03-31 07:56:58,RR,118,0.99,1929.94,0.99,2272.59,DOWN
2026-03-31 07:56:59,RR,119,0.99,1929.94,0.99,2272.59,DOWN
2026-03-31 07:57:01,RR,121,0.99,1809.87,0.99,2272.59,DOWN
2026-03-31 07:57:02,RR,122,0.99,1563.55,0.99,2272.59,DOWN
2026-03-31 07:57:03,RR,123,0.99,1531.87,0.99,2272.59,DOWN
2026-03-31 07:57:05,RR,125,0.99,1497.11,0.99,2272.59,DOWN
2026-03-31 07:57:06,RR,126,0.99,1509.78,0.99,2272.59,DOWN
2026-03-31 07:57:08,RR,128,0.99,1475.11,0.99,2272.59,DOWN
2026-03-31 07:57:09,RR,129,0.99,1517.25,0.99,2272.59,DOWN
2026-03-31 07:57:10,RR,130,0.99,1454.47,0.99,2272.59,DOWN
2026-03-31 07:57:12,RR,132,0.99,1467.31,0.99,2272.59,DOWN
2026-03-31 07:57:13,RR,133,0.99,1586.11,0.99,2272.59,DOWN
2026-03-31 07:57:14,RR,134,0.99,1482.21,0.99,2272.59,DOWN
2026-03-31 07:57:16,RR,136,0.99,1482.21,0.99,2272.59,DOWN
2026-03-31 07:57:17,RR,137,0.99,1487.11,0.99,2272.59,DOWN
2026-03-31 07:57:19,RR,139,0.99,1427.75,0.99,2272.59,DOWN
2026-03-31 07:57:20,RR,140,0.99,1374.28,0.99,2272.59,DOWN
2026-03-31 07:57:21,RR,141,0.99,1369.27,0.99,2272.59,DOWN
2026-03-31 07:57:23,RR,143,0.99,1275.22,0.99,2272.59,DOWN
2026-03-31 07:57:24,RR,144,0.99,1265.21,0.99,2272.59,DOWN
2026-03-31 07:57:25,RR,145,0.99,1265.21,0.99,2272.59,DOWN
2026-03-31 07:57:27,RR,147,0.99,1159.75,0.99,2272.59,DOWN
2026-03-31 07:57:28,RR,148,0.99,1159.75,0.99,2272.59,DOWN
2026-03-31 07:57:30,RR,150,0.99,1189.24,0.99,2272.59,DOWN
2026-03-31 07:57:31,RR,151,0.99,1314.29,0.99,2248.34,DOWN
2026-03-31 07:57:32,RR,152,0.99,1323.94,0.99,2124.84,DOWN
2026-03-31 07:57:34,RR,154,0.99,1418.04,0.99,2124.84,DOWN
2026-03-31 07:57:35,RR,155,0.99,1249.68,0.99,2124.84,DOWN
2026-03-31 07:57:36,RR,156,0.99,695.13,0.99,2124.84,DOWN
2026-03-31 07:57:38,RR,158,0.99,895.11,0.99,2124.84,DOWN
2026-03-31 07:57:39,RR,159,0.99,697.11,0.99,2124.84,DOWN
2026-03-31 07:57:40,RR,160,0.99,593.16,0.99,2124.84,DOWN
2026-03-31 07:57:42,RR,162,0.99,558.51,0.99,2124.84,DOWN
2026-03-31 07:57:43,RR,163,0.99,508.45,0.99,2124.84,DOWN
2026-03-31 07:57:45,RR,165,0.99,75.68,0.99,2124.84,DOWN
2026-03-31 07:57:46,RR,166,0.99,363.92,0.99,2124.84,DOWN
2026-03-31 07:57:47,RR,167,0.99,318.83,0.99,2124.84,DOWN
2026-03-31 07:57:49,RR,169,0.99,368.33,0.99,2512.84,DOWN
2026-03-31 07:57:50,RR,170,0.99,210.87,0.99,2609.84,DOWN
2026-03-31 07:57:51,RR,171,0.99,205.92,0.99,2609.84,DOWN
2026-03-31 07:57:53,RR,173,0.99,215.72,0.99,2609.84,DOWN
2026-03-31 07:57:54,RR,174,0.99,215.72,0.99,2609.84,DOWN
2026-03-31 07:57:56,RR,176,0.99,215.72,0.999,2120.25,DOWN
2026-03-31 07:57:57,RR,177,0.999,505.62,0.999,2120.25,DOWN
2026-03-31 07:57:58,RR,178,0.999,1159.95,0.999,3169.2,DOWN
2026-03-31 07:58:00,RR,180,0.999,1814.17,0.999,3618.75,DOWN
2026-03-31 07:58:01,RR,181,0.999,1964.11,0.999,2825.68,DOWN
2026-03-31 07:58:02,RR,182,0.999,1783.06,0.999,2825.68,DOWN
2026-03-31 07:58:04,RR,184,0.999,1783.06,0.999,2825.68,DOWN
