timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 10:40:02,2026-03-30 06:40:02,GG,2,0.01,0.99,0.98,25.21,6558.88,0.01,0.99,0.98,86.9,1517.01,0.04,SELL,UP
2026-03-30 10:40:04,2026-03-30 06:40:04,GG,4,0.01,0.99,0.98,22.42,6558.88,0.01,0.99,0.98,86.9,1414.33,0.04,SELL,UP
2026-03-30 10:40:05,2026-03-30 06:40:05,GG,5,0.01,0.99,0.98,20.1,6558.88,0.01,0.99,0.98,86.9,1349.57,0.05,BUY,UP
2026-03-30 10:40:07,2026-03-30 06:40:07,GG,7,0.01,0.99,0.98,26.46,6558.88,0.01,0.99,0.98,86.9,1561.0,0.05,BUY,UP
2026-03-30 10:40:09,2026-03-30 06:40:09,GG,9,0.01,0.99,0.98,23.53,6073.88,0.01,0.99,0.98,71.9,1983.94,0.05,BUY,UP
2026-03-30 10:40:10,2026-03-30 06:40:10,GG,10,0.01,0.99,0.98,54.99,6073.88,0.01,0.99,0.98,71.9,2487.68,0.05,BUY,UP
2026-03-30 10:40:12,2026-03-30 06:40:12,GG,12,0.01,0.99,0.98,55.1,6073.88,0.01,0.99,0.98,71.9,2486.52,0.05,BUY,UP
2026-03-30 10:40:13,2026-03-30 06:40:13,GG,13,0.01,0.99,0.98,60.42,6078.83,0.01,0.99,0.98,71.9,2181.27,0.05,BUY,UP
2026-03-30 10:40:15,2026-03-30 06:40:15,GG,15,0.01,0.99,0.98,59.59,6073.88,0.01,0.99,0.98,71.9,2363.8,0.07,BUY,UP
2026-03-30 10:40:17,2026-03-30 06:40:17,GG,17,0.01,0.99,0.98,62.87,6073.88,0.01,0.99,0.98,71.9,2701.44,0.07,BUY,UP
2026-03-30 10:40:18,2026-03-30 06:40:18,GG,18,0.01,0.99,0.98,66.56,6073.88,0.01,0.99,0.98,71.9,2670.23,0.07,BUY,UP
2026-03-30 10:40:20,2026-03-30 06:40:20,GG,20,0.01,0.99,0.98,65.74,6073.88,0.01,0.99,0.98,71.9,2647.53,0.07,BUY,UP
2026-03-30 10:40:22,2026-03-30 06:40:22,GG,22,0.01,0.99,0.98,64.75,6073.88,0.01,0.99,0.98,71.9,2470.62,0.07,BUY,UP
2026-03-30 10:40:23,2026-03-30 06:40:23,GG,23,0.01,0.99,0.98,58.75,6073.88,0.01,0.99,0.98,71.9,2470.62,0.07,BUY,UP
2026-03-30 10:40:25,2026-03-30 06:40:25,GG,25,0.01,0.99,0.98,62.75,6073.88,0.01,0.99,0.98,71.9,2666.62,0.07,BUY,UP
