timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 12:10:02,2026-03-30 08:10:02,RR,2,0.01,0.99,0.98,72.26,3222.72,0.01,0.99,0.98,79.01,6076.43,0.81,BUY,DOWN
2026-03-30 12:10:04,2026-03-30 08:10:04,RR,4,0.01,0.99,0.98,72.26,3222.72,0.01,0.99,0.98,79.01,6076.43,0.8,BUY,DOWN
2026-03-30 12:10:05,2026-03-30 08:10:05,RR,5,0.01,0.99,0.98,72.26,3222.72,0.01,0.99,0.98,79.01,6076.43,0.81,BUY,DOWN
2026-03-30 12:10:07,2026-03-30 08:10:07,RR,7,0.01,0.99,0.98,72.26,3222.72,0.01,0.99,0.98,79.01,6076.43,0.81,BUY,DOWN
2026-03-30 12:10:08,2026-03-30 08:10:08,RR,8,0.01,0.99,0.98,72.26,3222.32,0.01,0.99,0.98,79.41,6076.43,0.82,BUY,DOWN
2026-03-30 12:10:10,2026-03-30 08:10:10,RR,10,0.01,0.99,0.98,72.26,3222.32,0.01,0.99,0.98,79.41,6076.43,0.82,BUY,DOWN
2026-03-30 12:10:12,2026-03-30 08:10:12,RR,12,0.01,0.99,0.98,72.26,3222.52,0.01,0.99,0.98,79.21,6076.43,0.82,BUY,DOWN
2026-03-30 12:10:13,2026-03-30 08:10:13,RR,13,0.01,0.99,0.98,72.26,3222.52,0.01,0.99,0.98,78.81,6076.43,0.82,BUY,DOWN
2026-03-30 12:10:15,2026-03-30 08:10:15,RR,15,0.01,0.99,0.98,72.26,3222.92,0.01,0.99,0.98,78.81,6076.43,0.79,SELL,DOWN
2026-03-30 12:10:17,2026-03-30 08:10:17,RR,17,0.01,0.99,0.98,72.26,3222.92,0.01,0.99,0.98,78.81,6076.43,0.81,BUY,DOWN
2026-03-30 12:10:18,2026-03-30 08:10:18,RR,18,0.01,0.99,0.98,72.26,3222.32,0.01,0.99,0.98,79.41,6076.43,0.81,BUY,DOWN
2026-03-30 12:10:20,2026-03-30 08:10:20,RR,20,0.01,0.99,0.98,72.26,3210.82,0.01,0.99,0.98,79.6,6076.43,0.85,BUY,DOWN
2026-03-30 12:10:21,2026-03-30 08:10:21,RR,21,0.01,0.99,0.98,72.26,3424.82,0.01,0.99,0.98,80.6,6076.43,0.85,BUY,DOWN
2026-03-30 12:10:23,2026-03-30 08:10:23,RR,23,0.01,0.99,0.98,72.26,3118.65,0.01,0.99,0.98,70.82,6076.43,0.85,BUY,DOWN
2026-03-30 12:10:25,2026-03-30 08:10:25,RR,25,0.01,0.99,0.98,72.26,3473.03,0.01,0.99,0.98,83.39,6076.43,0.85,BUY,DOWN
2026-03-30 12:10:26,2026-03-30 08:10:26,RR,26,0.01,0.99,0.98,72.26,3535.35,0.01,0.99,0.98,88.07,6076.43,0.91,BUY,DOWN
2026-03-30 12:10:28,2026-03-30 08:10:28,RR,28,0.01,0.99,0.98,72.26,3535.35,0.01,0.99,0.98,88.07,6076.43,0.91,BUY,DOWN
2026-03-30 12:10:29,2026-03-30 08:10:29,RR,29,0.01,0.99,0.98,72.26,3044.28,0.01,0.99,0.98,69.74,6076.43,0.91,BUY,DOWN
2026-03-30 12:10:31,2026-03-30 08:10:31,RR,31,0.01,0.99,0.98,72.26,3206.7,0.01,0.99,0.98,76.32,6076.43,0.88,SELL,DOWN
2026-03-30 12:10:33,2026-03-30 08:10:33,RR,33,0.01,0.99,0.98,72.26,3551.86,0.01,0.99,0.98,90.56,6076.43,0.89,BUY,DOWN
2026-03-30 12:10:34,2026-03-30 08:10:34,RR,34,0.01,0.99,0.98,72.26,3663.88,0.01,0.99,0.98,93.56,6076.43,0.88,BUY,DOWN
2026-03-30 12:10:36,2026-03-30 08:10:36,RR,36,0.01,0.99,0.98,72.26,3235.21,0.01,0.99,0.98,78.16,6076.43,0.88,BUY,DOWN
2026-03-30 12:10:37,2026-03-30 08:10:37,RR,37,0.01,0.99,0.98,72.26,3611.7,0.01,0.99,0.98,93.44,6076.43,0.89,BUY,DOWN
