timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 09:58:05,2026-03-30 05:58:05,RR,185,0.01,0.99,0.98,64.39,6296.01,0.01,0.99,0.98,76.32,2600.2,0.14,BUY,UP
2026-03-30 09:58:07,2026-03-30 05:58:07,RR,187,0.01,0.99,0.98,73.49,6296.01,0.01,0.99,0.98,76.32,2844.1,0.14,BUY,UP
2026-03-30 09:58:09,2026-03-30 05:58:09,RR,189,0.01,0.99,0.98,58.84,6296.01,0.01,0.99,0.98,76.32,2417.75,0.2,BUY,UP
2026-03-30 09:58:10,2026-03-30 05:58:10,RR,190,0.01,0.99,0.98,67.84,6296.01,0.01,0.99,0.98,76.32,2608.75,0.2,BUY,UP
2026-03-30 09:58:12,2026-03-30 05:58:12,RR,192,0.01,0.99,0.98,57.84,6296.01,0.01,0.99,0.98,76.32,2418.75,0.2,BUY,UP
2026-03-30 09:58:14,2026-03-30 05:58:14,RR,194,0.01,0.99,0.98,57.24,6296.01,0.01,0.99,0.98,76.32,2439.35,0.16,BUY,UP
2026-03-30 09:58:15,2026-03-30 05:58:15,RR,195,0.01,0.99,0.98,65.24,6296.01,0.01,0.99,0.98,76.32,2631.35,0.16,BUY,UP
2026-03-30 09:58:17,2026-03-30 05:58:17,RR,197,0.01,0.99,0.98,75.49,6296.01,0.01,0.99,0.98,76.32,2741.1,0.16,BUY,UP
2026-03-30 09:58:18,2026-03-30 05:58:18,RR,198,0.01,0.99,0.98,57.19,6296.01,0.01,0.99,0.98,76.32,2359.4,0.16,BUY,UP
2026-03-30 09:58:20,2026-03-30 05:58:20,RR,200,0.01,0.99,0.98,57.24,6296.01,0.01,0.99,0.98,76.32,2364.35,0.14,BUY,UP
2026-03-30 09:58:22,2026-03-30 05:58:22,RR,202,0.01,0.99,0.98,55.39,6296.01,0.01,0.99,0.98,76.32,2326.2,0.11,SELL,UP
2026-03-30 09:58:23,2026-03-30 05:58:23,RR,203,0.01,0.99,0.98,69.39,6296.01,0.01,0.99,0.98,76.32,2712.2,0.12,BUY,UP
2026-03-30 09:58:25,2026-03-30 05:58:25,RR,205,0.01,0.99,0.98,69.39,6296.01,0.01,0.99,0.98,76.32,2712.0,0.12,BUY,UP
2026-03-30 09:58:27,2026-03-30 05:58:27,RR,207,0.01,0.99,0.98,70.79,6296.01,0.01,0.99,0.98,76.32,2783.8,0.12,BUY,UP
2026-03-30 09:58:28,2026-03-30 05:58:28,RR,208,0.01,0.99,0.98,69.59,6296.01,0.01,0.99,0.98,76.32,2712.0,0.15,BUY,UP
2026-03-30 09:58:30,2026-03-30 05:58:30,RR,210,0.01,0.99,0.98,69.59,6296.01,0.01,0.99,0.98,76.32,2518.2,0.15,BUY,UP
2026-03-30 09:58:31,2026-03-30 05:58:31,RR,211,0.01,0.99,0.98,63.39,6296.01,0.01,0.99,0.98,76.32,2518.2,0.15,BUY,UP
2026-03-30 09:58:33,2026-03-30 05:58:33,RR,213,0.01,0.99,0.98,69.39,6296.01,0.01,0.99,0.98,76.32,2712.2,0.15,BUY,UP
2026-03-30 09:58:35,2026-03-30 05:58:35,RR,215,0.01,0.99,0.98,66.66,6296.01,0.01,0.99,0.98,76.32,2598.93,0.15,BUY,UP
2026-03-30 09:58:36,2026-03-30 05:58:36,RR,216,0.01,0.99,0.98,70.19,6296.01,0.01,0.99,0.98,76.32,2711.4,0.15,BUY,UP
2026-03-30 09:58:38,2026-03-30 05:58:38,RR,218,0.01,0.99,0.98,70.19,6296.01,0.01,0.99,0.98,76.32,2711.4,0.15,BUY,UP
2026-03-30 09:58:39,2026-03-30 05:58:39,RR,219,0.01,0.99,0.98,55.79,6296.01,0.01,0.99,0.98,76.32,2426.7,0.25,BUY,UP
2026-03-30 09:58:41,2026-03-30 05:58:41,RR,221,0.01,0.99,0.98,55.69,6296.01,0.01,0.99,0.98,76.32,2325.65,0.32,BUY,UP
2026-03-30 09:58:43,2026-03-30 05:58:43,RR,223,0.01,0.99,0.98,58.94,6971.01,0.01,0.99,0.98,101.32,2122.65,0.28,BUY,UP
2026-03-30 09:58:44,2026-03-30 05:58:44,RR,224,0.01,0.99,0.98,58.94,6971.01,0.01,0.99,0.98,101.32,2146.41,0.29,BUY,UP
2026-03-30 09:58:46,2026-03-30 05:58:46,RR,226,0.01,0.99,0.98,59.18,6971.01,0.01,0.99,0.98,101.32,1956.41,0.29,BUY,UP
2026-03-30 09:58:48,2026-03-30 05:58:48,RR,228,0.01,0.99,0.98,45.13,6971.01,0.01,0.99,0.98,101.32,1860.46,0.34,BUY,UP
2026-03-30 09:58:49,2026-03-30 05:58:49,RR,229,0.01,0.99,0.98,45.18,6971.01,0.01,0.99,0.98,101.32,1865.41,0.35,BUY,UP
2026-03-30 09:58:51,2026-03-30 05:58:51,RR,231,0.01,0.99,0.98,55.03,6971.01,0.01,0.99,0.98,101.32,2050.56,0.42,BUY,UP
2026-03-30 09:58:52,2026-03-30 05:58:52,RR,232,0.01,0.99,0.98,55.08,6971.01,0.01,0.99,0.98,101.32,2055.51,0.42,BUY,UP
2026-03-30 09:58:54,2026-03-30 05:58:54,RR,234,0.01,0.99,0.98,55.08,6971.01,0.01,0.99,0.98,101.32,2055.51,0.34,BUY,UP
2026-03-30 09:58:56,2026-03-30 05:58:56,RR,236,0.01,0.99,0.98,61.03,6966.06,0.01,0.99,0.98,101.27,2164.56,0.29,BUY,UP
2026-03-30 09:58:57,2026-03-30 05:58:57,RR,237,0.01,0.99,0.98,61.03,6966.06,0.01,0.99,0.98,101.27,2164.56,0.26,BUY,UP
2026-03-30 09:58:59,2026-03-30 05:58:59,RR,239,0.01,0.99,0.98,56.98,6966.06,0.01,0.99,0.98,101.27,2163.61,0.26,BUY,UP
