timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 07:25:02,RR,2,0.01,0.99,84.18,2518.14,0.94,0.01,0.99,53.24,2894.13,0.07,PENDING
2026-04-01 07:25:03,RR,3,0.01,0.99,84.18,2595.48,0.94,0.01,0.99,51.55,2894.13,0.07,PENDING
2026-04-01 07:25:05,RR,5,0.01,0.99,84.18,2568.88,0.94,0.01,0.99,51.15,2894.13,0.07,PENDING
2026-04-01 07:25:07,RR,7,0.01,0.99,84.18,2719.93,0.94,0.01,0.99,59.1,2894.13,0.07,PENDING
2026-04-01 07:25:08,RR,8,0.01,0.99,84.18,3186.53,0.94,0.01,0.99,72.5,2894.13,0.07,PENDING
2026-04-01 07:25:10,RR,10,0.01,0.99,84.18,3213.13,0.94,0.01,0.99,75.4,2894.13,0.07,PENDING
2026-04-01 07:25:11,RR,11,0.01,0.99,84.18,2525.74,0.92,0.01,0.99,58.39,2894.13,0.09,PENDING
2026-04-01 07:25:13,RR,13,0.01,0.99,84.18,2846.04,0.92,0.01,0.99,70.69,2894.13,0.11,PENDING
2026-04-01 07:25:14,RR,14,0.01,0.99,84.18,2563.84,0.92,0.01,0.99,57.22,2894.13,0.11,PENDING
2026-04-01 07:25:16,RR,16,0.01,0.99,84.18,2554.69,0.92,0.01,0.99,56.37,2894.13,0.11,PENDING
2026-04-01 07:25:18,RR,18,0.01,0.99,84.18,2848.89,0.89,0.01,0.99,72.17,2894.13,0.11,PENDING
2026-04-01 07:25:19,RR,19,0.01,0.99,84.18,2749.04,0.9,0.01,0.99,67.02,2894.13,0.11,PENDING
2026-04-01 07:25:21,RR,21,0.01,0.99,84.18,2295.81,0.87,0.01,0.99,49.29,2894.13,0.13,PENDING
2026-04-01 07:25:22,RR,22,0.01,0.99,84.18,2320.67,0.88,0.01,0.99,49.19,2894.13,0.15,PENDING
2026-04-01 07:25:24,RR,24,0.01,0.99,84.18,2530.72,0.88,0.01,0.99,59.49,2894.13,0.15,PENDING
2026-04-01 07:25:25,RR,25,0.01,0.99,84.18,2516.37,0.88,0.01,0.99,59.54,2894.13,0.12,PENDING
2026-04-01 07:25:27,RR,27,0.01,0.99,84.18,2281.92,0.88,0.01,0.99,46.7,2894.13,0.14,PENDING
2026-04-01 07:25:28,RR,28,0.01,0.99,84.18,2257.82,0.8,0.01,0.99,46.5,2894.13,0.21,PENDING
2026-04-01 07:25:30,RR,30,0.01,0.99,84.18,2117.4,0.76,0.01,0.99,44.92,2894.13,0.24,PENDING
2026-04-01 07:25:32,RR,32,0.01,0.99,84.18,2115.4,0.77,0.01,0.99,46.92,2894.13,0.24,PENDING
2026-04-01 07:25:33,RR,33,0.01,0.99,84.18,2115.4,0.77,0.01,0.99,46.92,2894.13,0.24,PENDING
2026-04-01 07:25:35,RR,35,0.01,0.99,84.18,2115.4,0.77,0.01,0.99,46.92,2894.13,0.24,PENDING
2026-04-01 07:25:36,RR,36,0.01,0.99,84.18,2115.4,0.77,0.01,0.99,46.92,2894.13,0.24,PENDING
2026-04-01 07:25:38,RR,38,0.01,0.99,84.18,2072.76,0.73,0.01,0.99,44.9,2894.13,0.26,PENDING
2026-04-01 07:25:39,RR,39,0.01,0.99,84.18,2072.76,0.75,0.01,0.99,45.5,2894.13,0.26,PENDING
2026-04-01 07:25:41,RR,41,0.01,0.99,84.18,2099.29,0.76,0.01,0.99,45.31,2894.13,0.25,PENDING
2026-04-01 07:25:43,RR,43,0.01,0.99,84.18,2099.29,0.76,0.01,0.99,45.91,2894.13,0.25,PENDING
2026-04-01 07:25:44,RR,44,0.01,0.99,84.18,2098.69,0.79,0.01,0.99,45.31,2894.13,0.22,PENDING
2026-04-01 07:25:46,RR,46,0.01,0.99,84.18,2079.29,0.79,0.01,0.99,45.31,2894.13,0.22,PENDING
2026-04-01 07:25:47,RR,47,0.01,0.99,84.18,2079.29,0.77,0.01,0.99,44.51,2894.13,0.25,PENDING
2026-04-01 07:25:49,RR,49,0.01,0.99,84.18,2079.49,0.74,0.001,0.99,37.03,2894.13,0.26,PENDING
2026-04-01 07:25:50,RR,50,0.001,0.999,31.78,1927.24,0.74,0.001,0.999,29.96,2051.17,0.26,PENDING
2026-04-01 07:25:52,RR,52,0.001,0.999,32.78,3026.14,0.74,0.001,0.999,31.06,3050.17,0.26,PENDING
2026-04-01 07:25:53,RR,53,0.001,0.999,32.88,3106.54,0.76,0.001,0.999,30.66,3150.07,0.26,PENDING
2026-04-01 07:25:55,RR,55,0.001,0.999,32.88,3106.54,0.76,0.001,0.999,30.66,3150.07,0.239,PENDING
2026-04-01 07:25:57,RR,57,0.001,0.999,33.13,3376.09,0.76,0.001,0.999,31.11,3399.82,0.239,PENDING
