timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 12:40:02,2026-03-30 08:40:02,RR,2,0.01,0.99,0.98,89.97,1901.29,0.01,0.99,0.98,44.62,6824.49,0.82,BUY,PENDING
2026-03-30 12:40:04,2026-03-30 08:40:04,RR,4,0.01,0.99,0.98,89.97,1906.44,0.01,0.99,0.98,44.47,6824.49,0.85,BUY,PENDING
2026-03-30 12:40:05,2026-03-30 08:40:05,RR,5,0.01,0.99,0.98,89.97,1906.44,0.01,0.99,0.98,44.47,6824.49,0.85,BUY,PENDING
2026-03-30 12:40:07,2026-03-30 08:40:07,RR,7,0.01,0.99,0.98,89.97,1901.29,0.01,0.99,0.98,44.62,6824.49,0.82,BUY,PENDING
2026-03-30 12:40:08,2026-03-30 08:40:08,RR,8,0.01,0.99,0.98,89.97,2477.47,0.01,0.99,0.98,50.44,6824.49,0.82,BUY,PENDING
2026-03-30 12:40:10,2026-03-30 08:40:10,RR,10,0.01,0.99,0.98,89.97,2477.47,0.01,0.99,0.98,50.44,6824.49,0.83,BUY,PENDING
2026-03-30 12:40:12,2026-03-30 08:40:12,RR,12,0.01,0.99,0.98,89.97,2477.47,0.01,0.99,0.98,50.44,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:13,2026-03-30 08:40:13,RR,13,0.01,0.99,0.98,89.97,2477.47,0.01,0.99,0.98,50.44,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:15,2026-03-30 08:40:15,RR,15,0.01,0.99,0.98,89.97,2477.47,0.01,0.99,0.98,50.44,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:16,2026-03-30 08:40:16,RR,16,0.01,0.99,0.98,89.97,2458.07,0.01,0.99,0.98,49.84,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:18,2026-03-30 08:40:18,RR,18,0.01,0.99,0.98,89.97,2458.07,0.01,0.99,0.98,49.84,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:20,2026-03-30 08:40:20,RR,20,0.01,0.99,0.98,89.97,2458.07,0.01,0.99,0.98,49.84,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:21,2026-03-30 08:40:21,RR,21,0.01,0.99,0.98,89.97,2477.67,0.01,0.99,0.98,50.24,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:23,2026-03-30 08:40:23,RR,23,0.01,0.99,0.98,89.97,2477.67,0.01,0.99,0.98,50.24,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:24,2026-03-30 08:40:24,RR,24,0.01,0.99,0.98,89.97,2477.67,0.01,0.99,0.98,50.24,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:26,2026-03-30 08:40:26,RR,26,0.01,0.99,0.98,89.97,2477.67,0.01,0.99,0.98,50.24,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:28,2026-03-30 08:40:28,RR,28,0.01,0.99,0.98,89.97,2477.67,0.01,0.99,0.98,50.24,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:29,2026-03-30 08:40:29,RR,29,0.01,0.99,0.98,89.97,2477.67,0.01,0.99,0.98,50.24,6824.49,0.84,BUY,PENDING
2026-03-30 12:40:31,2026-03-30 08:40:31,RR,31,0.01,0.99,0.98,89.97,2477.87,0.01,0.99,0.98,50.04,6824.49,0.86,BUY,PENDING
2026-03-30 12:40:32,2026-03-30 08:40:32,RR,32,0.01,0.99,0.98,74.97,2962.67,0.01,0.99,0.98,65.94,6339.49,0.81,SELL,PENDING
2026-03-30 12:40:34,2026-03-30 08:40:34,RR,34,0.01,0.99,0.98,74.97,2966.97,0.01,0.99,0.98,65.94,6339.49,0.81,BUY,PENDING
2026-03-30 12:40:36,2026-03-30 08:40:36,RR,36,0.01,0.99,0.98,74.97,2966.97,0.01,0.99,0.98,65.94,6339.49,0.81,BUY,PENDING
2026-03-30 12:40:37,2026-03-30 08:40:37,RR,37,0.01,0.99,0.98,74.97,2966.97,0.01,0.99,0.98,65.94,6339.49,0.82,BUY,PENDING
